ID,Type,Difficulty,Context,Goal,User Pref,Decibel,Evaluation Criteria
1,기본,Low,"Library (Quiet Zone, Morning)",Deep Focus,None,Silent,"Must be: Instrumental, White noise, or Classical Piano. Constraint: No lyrics."
2,기본,Low,"Gym (Weight Room, Night)",Cardio/Energy,None,Loud,"Must be: High BPM, EDM, or Workout Remix. Vibe: Energetic, Pumping."
3,기본,Low,"Home (Bedroom, Rainy Night)",Sleep Induction,None,Quiet,"Must be: Rain sounds, Ambient, or Lullaby. Constraint: Very slow tempo, No sudden loud sounds."
4,취향반영,Mid,Cafe (Sunny Afternoon),Relax/Read,Jazz,Moderate,"Genre: Jazz (Vocal or Instrumental). Vibe: Cozy, Coffee shop atmosphere, Soft Saxophone."
5,취향반영,Mid,"Park (Jogging Track, Summer)",Running,K-Pop (NewJeans),Moderate,"Artist: NewJeans or similar refreshing K-Pop. Vibe: Upbeat, Youthful, Bright energy."
6,취향반영,Mid,Co-working Space (Busy),Coding/Work,Lo-fi,Quiet,"Genre: Lo-fi Hip hop or Chillhop. Constraint: No distracting lyrics. Vibe: Productive, Repetitive."
7,취향반영,Mid,Car (Highway Drive),Driving/Neutral,Pop Hits,Loud,"Genre: Trendy Pop (Billboard). Vibe: Rhythmic, Sing-along, Driving friendly."
8,취향반영,Mid,Home (Late Night),Consolation (Sadness),Ballad (IU),Silent,"Artist: IU or Emotional Ballad. Vibe: Sad, Touching, Slow tempo piano."
9,충돌해결,High,Library (Exam Period),Study,Heavy Metal,Silent,"Strategy: Change Genre or Sub-genre. Acceptable: Post-rock, Instrumental Metal, Ambient. Forbidden: Screaming vocals, Blast beats."
10,충돌해결,High,Gym (Powerlifting),Strength Training,Classical,Loud,"Strategy: Match Energy. Acceptable: Epic Orchestral, Trailer Music, Fast-tempo Strings (e.g., Vivaldi Storm). Forbidden: Slow Adagio."
11,충돌해결,High,Home (Bedtime),Sleep,Hip-hop,Quiet,"Strategy: Remove Lyrics/Aggression. Acceptable: Lo-fi Hip hop, Jazz-hop, Slow Jam Instrumentals. Forbidden: Trap, Gangsta Rap."
12,충돌해결,High,Co-working Space,Deep Work,K-Pop (Dance),Quiet,"Strategy: Acoustic/Piano Arrange. Acceptable: Piano covers of K-Pop, Soft versions. Forbidden: Original dance tracks with heavy bass."
13,충돌해결,High,Cafe (Lounge),Relax,EDM,Moderate,"Strategy: Downtempo. Acceptable: Tropical House, Chill House, Lounge Music. Forbidden: Big Room Festival EDM."
14,충돌해결,High,Park (Sunset),Consolation,Rock,Moderate,"Strategy: Soften the tone. Acceptable: Soft Rock, Acoustic Rock, Britpop (e.g., Oasis). Forbidden: Hard Rock, Metal."
15,소음대응,High,Subway (Rush Hour),Focus/Reading,Classical,Very Loud,"Strategy: Noise Masking. Acceptable: Cello solos (Deep frequencies), Steady rhythm. Vibe: Immersive."
16,감정분석,Mid,Home (Alone),Stress Relief (Venting Anger),Rock,Moderate,"Goal: Catharsis. Acceptable: Grunge, Punk Rock, Hard Rock. Vibe: Aggressive, Loud, Fast."
17,감정분석,High,Home (Night),Composure (Calming Anger),Classical,Moderate,"Goal: Sublimation. Acceptable: Dramatic Classical (Wagner, Rachmaninoff). Vibe: Intense but structured, Majestic."
18,감정분석,Mid,Moving Day (Physical Labor),Active/Energy,Hip-hop,Loud,"Genre: Boom Bap or Old School. Vibe: Rhythmic, Steady beat for working, Motivating."
19,일반,Low,Cafe (Quiet Corner),Neutral/Rest,Indie,Moderate,"Genre: Indie Pop/Folk. Vibe: Acoustic, Easy listening, Calm."
20,충돌해결,High,Library (Study Room),Deep Focus,Podcast (Talk Show),Silent,Conflict: Voice vs Focus. Action: REJECT user pref or suggest Instrumental/Binaural Beats. Forbidden: Talk shows.
