ID,Context,Score_Total_Accuracy,Score_Accuracy_Logic,Score_Accuracy_Math,Score_Stability,Score_SearchSuccess,Score_Consistency,Hallucination_Track,Output_Reasoning,Recommended_Track,Score_Diversity,Overall_Search_Success_Rate
1,Library-Focus,74.9,90,39.6,1,1,1.0,,"Since the user is in a **library** (Context) and wants to **focus**, I selected an ambient instrumental track that is designed to enhance concentration without being intrusive.",Various Artists - Reading Music to Concentrate Ambient Study Music,90.0,100.0%
2,Gym-Active,67.5,70,61.7,1,1,1.0,,"Since the user is in a **gym** (Context) and wants to **stay active**, I selected a high-energy EDM track that fits the **active** goal perfectly.",KSHMR - Jammu,90.0,100.0%
3,Home-Sleep,65.7,70,55.8,1,1,1.0,,"Since the user is in a **quiet home environment** and wants to **sleep**, I selected a calming instrumental track that fits the **silent** decibel requirement.",Max Richter - Sleep,90.0,100.0%
4,Cafe-Relax,80.0,90,56.7,1,1,1.0,,"Since the user is in a **cafe** (Context) and wants to **relax**, I selected a smooth jazz track that fits the **quiet** decibel requirement and creates a calm atmosphere.",Kenny G - Songbird,90.0,100.0%
5,Park-Active,81.8,95,50.9,1,1,1.0,,"Since the user is in a **park** (Context) and wants to maintain **energy levels** while being active, I selected upbeat tracks by **NewJeans** that fit the **active** atmosphere and moderate decibel levels.",NewJeans - Hype Boy,90.0,100.0%
6,Co-working-Focus,80.4,95,46.4,1,1,1.0,,"Since the user is in a **co-working** space (Context) and wants to **focus**, I selected a lo-fi instrumental track that fits the **quiet** decibel requirement and enhances concentration.",Purrple Cat - Daily Chill Workspace Lofi Deep Focus Work/Study,90.0,100.0%
7,Moving (Car)-Neutral,41.1,40,43.6,1,1,1.0,,"Since the user is in a **gym** (Context) and wants to maintain an **active** mood, I selected an upbeat pop track that has a high BPM and energetic vibe to match the **very_loud** decibel requirement.",Dua Lipa - Levitating,90.0,100.0%
8,Home-Consolation,83.0,95,54.9,1,1,1.0,,"Since the user is at home (Context) and wants consolation, I selected IU's 'Dear Name' which has a soothing melody and fits the silent decibel requirement.",IU - Dear Name,90.0,100.0%
9,Library-Focus,77.7,90,49.1,1,1,1.0,,"Since the user is in a **library** (Context) and wants to **focus**, I selected an instrumental heavy metal track that fits the **quiet** decibel requirement while maintaining a heavy metal vibe.",Fallujah - Chemical Cave,90.0,100.0%
10,Gym-Active,65.5,75,43.3,1,1,1.0,,"Since the user is in a **gym** (Context) and wants to **stay active**, I selected high-energy classical pieces that fit the **very_loud** decibel requirement to keep the energy levels high during workouts.","Ludwig van Beethoven - Symphony No. 7 in A Major, Op. 92: II. Allegretto",90.0,100.0%
11,Home-Sleep,80.1,95,45.3,1,1,1.0,,"Since the user is in a **quiet environment** (Context) and wants to **sleep**, I selected a lo-fi hip-hop track that has a slow tempo and soothing melodies to match the **silent** decibel requirement.","Various Artists - lofi sleep, lo-fi rain 8 hours mix beats to sleep/chill/relax to",90.0,100.0%
12,Co-working-Focus,60.8,70,39.3,1,1,1.0,,"Since the user is in a **co-working** space and wants to **focus**, I selected instrumental K-Pop tracks that maintain a calm tempo and minimal distractions, suitable for a **quiet** environment.",BTS - Spring Day (Instrumental),90.0,100.0%
13,Cafe-Relax,66.8,75,47.5,1,1,1.0,,"Since the user is in a **cafe** (Context) and wants to **relax**, I selected a chill EDM track that fits the **quiet** decibel requirement and promotes a soothing atmosphere.",ODESZA - A Moment Apart,90.0,100.0%
14,Park-Consolation,77.4,90,48.1,1,1,1.0,,"Since the user is in a **park** (Context) and wants to **consolation**, I selected a soft rock track that fits the **quiet** decibel requirement and evokes feelings of comfort.",Simon & Garfunkel - The Sound of Silence,90.0,100.0%
15,Subway-Focus,57.1,60,50.5,1,1,1.0,,"Since the user is in a **very loud subway** (Context) and wants to **focus**, I selected a classical instrumental piece that has a moderate tempo and low energy to help maintain concentration despite the noise.",Ludovico Einaudi - Nuvole Bianche,90.0,100.0%
16,Home-Anger (Vent),66.1,70,57.0,1,1,1.0,,"Since the user is at home (Context) and wants to vent anger, I selected an energetic rock track that fits the moderate decibel requirement while still providing a strong emotional release.",Of Mice & Men - You're Going Down,90.0,100.0%
17,Home-Anger (Calm),63.5,70,48.4,1,1,1.0,,"Since the user is at **home** (Context) and wants to **reduce anger**, I selected calming classical pieces that fit a **quiet** decibel level to help manage emotions effectively.",Ludovico Einaudi - Nuvole Bianche,90.0,100.0%
18,Moving-Active,62.5,70,45.0,1,1,1.0,,"Since the user is in a **gym** (Context) and wants to maintain an **active pace** while **moving in a loud environment**, I selected high-energy hip-hop tracks that are perfect for keeping energy levels high.",Kendrick Lamar - HUMBLE.,90.0,100.0%
19,Cafe-Neutral,67.5,75,50.2,1,1,1.0,,"Since the user is in a **cafe** (Context) and wants to create a **neutral atmosphere**, I selected an upbeat yet calming indie track to match the **quiet** decibel requirement.",Clairo - Bags,90.0,100.0%
20,Library-Focus,75.5,90,41.6,1,1,1.0,,"Since the user is in a **library** (Context) and wants to **focus**, I selected an instrumental track that is calm and has a low energy level to match the **silent** decibel requirement.",Ludovico Einaudi - Nuvole Bianche,90.0,100.0%
